TEAM,PLAYER,POS,GP,GS,MIN,PPG,OFFR,DEFR,RPG,APG,SPG,BPG,TPG,FPG,A/TO,PER,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,2PM,2PA,2P%,PPS,AFG%
mem,Pau Gasol, PF,78,78,31.5,17.7,2.6,5.1,7.7,2.5,0.56,1.69,2.4,2.4,1.1,21.8,6.5,13.4,.482,0.1,0.2,.267,4.7,6.6,0.71,6.4,13.2,.485,1.316,0.48
mem,James Posey, SF,82,82,29.9,13.7,1.1,3.8,4.9,1.5,1.67,0.49,1.4,3.0,1.1,18.9,4.5,9.4,.478,1.4,3.5,.386,3.4,4.1,0.83,3.1,5.9,.533,1.462,0.55
mem,Jason Williams, PG,72,68,29.4,10.9,0.3,1.7,2.0,6.8,1.28,0.07,1.9,1.3,3.6,17.0,4.0,9.9,.407,1.7,5.1,.330,1.1,1.4,0.84,2.3,4.8,.487,1.097,0.49
mem,Mike Miller, SF,65,65,27.2,11.1,0.6,2.7,3.3,3.6,0.91,0.22,1.6,2.5,2.2,14.9,4.2,9.5,.438,1.2,3.3,.372,1.6,2.2,0.72,3.0,6.2,.474,1.172,0.50
mem,Theron Smith, SF,20,0,8.9,2.2,0.7,1.4,2.1,0.4,0.25,0.25,0.7,0.9,0.5,8.4,0.8,2.2,.372,0.3,0.6,.500,0.3,0.4,0.75,0.5,1.6,.323,1.023,0.44
mem,Lorenzen Wright, PF,65,46,25.8,9.4,2.2,4.6,6.8,1.1,0.69,0.89,1.2,3.0,0.9,14.1,4.0,9.0,.439,0.0,0.1,.000,1.5,2.0,0.73,4.0,8.9,.442,1.041,0.44
mem,Shane Battier, SF,79,1,24.6,8.5,1.3,2.5,3.8,1.3,1.28,0.73,0.7,2.4,1.8,15.4,3.1,6.9,.446,0.8,2.4,.349,1.5,2.1,0.73,2.3,4.5,.496,1.232,0.51
mem,Bonzi Wells, SG†,59,17,24.9,12.3,1.0,2.4,3.4,1.8,1.20,0.27,2.2,2.7,0.8,13.0,5.0,11.4,.437,0.4,1.0,.344,2.0,2.6,0.75,4.6,10.4,.446,1.079,0.45
mem,Jake Tsakalidis, C,40,28,13.3,4.3,0.9,2.3,3.2,0.5,0.23,0.55,0.6,2.0,0.8,12.5,1.7,3.3,.504,0.0,0.0,.000,0.9,1.5,0.59,1.7,3.3,.504,1.278,0.50
mem,Dahntay Jones, SG,20,0,7.7,1.8,0.4,0.8,1.2,0.6,0.25,0.30,0.6,1.2,1.0,2.5,0.8,2.7,.283,0.1,0.2,.250,0.3,0.6,0.45,0.7,2.5,.286,.679,0.29
mem,Ryan Humphrey, SF,2,0,5.5,1.0,1.0,0.5,1.5,0.5,0.50,0.00,1.0,1.5,0.5,-1.0,0.5,2.0,.250,0.0,0.5,.000,0.0,0.0,0.00,0.5,1.5,.333,.500,0.25
mem,Troy Bell, PG,6,0,5.7,1.8,0.5,0.2,0.7,0.7,0.17,0.00,1.0,1.0,0.7,-4.7,0.7,3.0,.222,0.0,0.7,.000,0.5,0.5,1.00,0.7,2.3,.286,.611,0.22
mem,Bo Outlaw, PF,82,1,19.6,4.6,1.5,2.6,4.2,1.1,0.89,0.85,0.8,2.1,1.3,13.2,1.9,3.8,.510,0.0,0.0,.000,0.7,1.4,0.53,1.9,3.8,.516,1.215,0.51
mem,Earl Watson, PG,81,14,20.6,5.7,0.6,1.6,2.2,5.0,1.12,0.23,1.8,2.2,2.8,12.9,2.1,5.7,.371,0.3,1.3,.245,1.1,1.7,0.65,1.8,4.4,.408,.991,0.40
mem,Stromile Swift, PF,77,10,19.8,9.4,1.8,3.1,4.9,0.5,0.73,1.53,1.1,2.4,0.4,19.3,3.5,7.4,.469,0.0,0.1,.250,2.5,3.4,0.73,3.5,7.3,.471,1.273,0.47
no,George Lynch, SF,78,51,21.8,4.8,1.2,2.8,4.0,1.5,0.62,0.23,0.8,2.0,1.8,9.8,1.9,4.8,.397,0.6,1.8,.309,0.4,0.7,0.67,1.3,3.0,.449,1.000,0.45
no,Baron Davis, PG,67,66,40.1,22.9,1.0,3.3,4.3,7.5,2.36,0.40,3.2,2.7,2.3,20.7,8.3,20.9,.395,2.8,8.7,.321,3.5,5.3,0.67,5.5,12.2,.448,1.093,0.46
no,Maurice Carter, PG†,6,0,10.0,3.3,0.3,1.0,1.3,0.3,0.00,0.00,0.5,0.8,0.7,5.8,1.0,3.5,.286,0.5,1.3,.375,0.8,1.3,0.63,0.5,2.2,.231,.952,0.36
no,Bryce Drew, PG,15,0,5.2,0.8,0.0,0.4,0.4,0.9,0.27,0.00,0.5,0.1,1.6,4.4,0.3,1.2,.222,0.1,0.5,.143,0.2,0.2,1.00,0.2,0.7,.273,.667,0.25
no,David Wesley, SG,61,60,32.8,14.0,0.5,1.7,2.2,2.9,1.16,0.23,1.6,2.4,1.8,12.6,5.1,13.1,.389,1.5,4.7,.323,2.2,3.0,0.75,3.6,8.4,.425,1.064,0.45
no,Tierre Brown, PG,3,0,5.7,2.0,0.0,0.3,0.3,0.7,0.00,0.00,2.3,0.3,0.3,-9.5,0.7,1.3,.500,0.0,0.0,.000,0.7,1.3,0.50,0.7,1.3,.500,1.500,0.50
no,P.J. Brown, PF,80,80,34.4,10.5,3.0,5.7,8.6,1.9,0.98,0.91,1.3,2.5,1.5,15.8,4.2,8.9,.476,0.0,0.0,.000,2.0,2.3,0.85,4.2,8.9,.477,1.174,0.48
no,David West, PF,71,1,13.1,3.8,1.6,2.5,4.2,0.8,0.38,0.39,0.7,1.6,1.3,16.0,1.5,3.2,.474,0.0,0.0,.000,0.8,1.1,0.71,1.5,3.2,.478,1.197,0.47
no,Steve Smith, SG,71,4,13.1,5.0,0.4,0.8,1.1,0.8,0.21,0.08,0.6,1.3,1.3,11.8,1.7,4.1,.406,0.6,1.5,.402,1.1,1.2,0.93,1.1,2.6,.409,1.222,0.48
no,Darrell Armstrong, PG,79,22,28.4,10.6,0.8,2.1,2.9,3.9,1.68,0.20,2.0,1.9,2.0,15.7,3.7,9.3,.395,1.7,5.4,.315,1.6,1.8,0.85,2.0,3.9,.508,1.141,0.49
no,Shammond Williams, PG†,16,2,14.9,4.5,0.0,1.1,1.1,3.3,0.88,0.06,1.3,1.4,2.5,13.1,1.8,5.1,.346,0.3,1.6,.192,0.7,0.8,0.85,1.5,3.5,.418,.889,0.38
no,Sean Rooks, C†,35,0,9.3,2.3,0.3,1.1,1.4,0.3,0.26,0.14,0.4,1.4,0.7,6.8,1.0,2.7,.362,0.0,0.0,.000,0.3,0.4,0.80,1.0,2.7,.362,.851,0.36
no,Jamaal Magloire, C,82,82,33.9,13.6,3.3,7.1,10.3,1.0,0.52,1.23,2.5,3.4,0.4,16.6,4.7,9.9,.473,0.0,0.0,.000,4.3,5.7,0.75,4.7,9.9,.474,1.383,0.47
no,Jamal Mashburn, SF,19,18,38.4,20.8,1.0,5.2,6.2,2.5,0.74,0.26,1.9,2.2,1.3,14.7,8.2,20.9,.392,1.0,3.5,.284,3.4,4.2,0.81,7.2,17.4,.414,.995,0.42
no,Stacey Augmon, SF,69,24,20.5,5.8,0.8,1.8,2.5,1.2,0.80,0.22,1.1,1.7,1.1,10.1,2.1,5.0,.412,0.0,0.1,.143,1.6,2.0,0.79,2.1,4.9,.418,1.144,0.41
no,Robert Traylor, PF,71,0,13.3,5.1,1.5,2.2,3.7,0.6,0.55,0.52,0.9,2.3,0.7,16.3,2.0,4.0,.505,0.0,0.1,.400,1.0,1.8,0.55,2.0,3.9,.507,1.261,0.51
sa,Bruce Bowen, SF,82,82,32.0,6.9,0.5,2.5,3.1,1.4,1.02,0.40,1.1,2.0,1.3,8.2,2.6,6.1,.420,0.9,2.6,.363,0.8,1.4,0.58,1.7,3.5,.462,1.125,0.50
sa,Malik Rose, PF,67,13,18.7,7.9,1.6,3.1,4.8,1.0,0.54,0.36,1.7,2.4,0.6,15.0,2.6,6.0,.428,0.0,0.0,.000,2.7,3.4,0.81,2.6,6.0,.431,1.309,0.43
sa,Jason Hart, PG,53,5,12.5,3.3,0.2,1.3,1.5,1.5,0.53,0.09,0.5,1.1,2.8,12.3,1.3,3.0,.447,0.0,0.2,.222,0.6,0.8,0.77,1.3,2.8,.460,1.113,0.45
sa,Tim Duncan, PF,69,68,36.6,22.3,3.3,9.2,12.4,3.1,0.90,2.68,2.7,2.4,1.2,27.1,8.6,17.1,.501,0.0,0.2,.167,5.1,8.5,0.60,8.6,16.9,.505,1.302,0.50
sa,Kevin Willis, C,48,0,7.8,3.4,0.8,1.3,2.0,0.2,0.44,0.19,0.7,1.3,0.3,15.0,1.5,3.1,.467,0.0,0.0,.000,0.5,0.8,0.62,1.5,3.1,.470,1.093,0.47
sa,Tony Parker, PG,75,75,34.4,14.7,0.6,2.6,3.2,5.5,0.81,0.09,2.4,2.0,2.3,15.7,5.6,12.6,.447,0.8,2.7,.312,2.5,3.6,0.70,4.8,9.9,.483,1.162,0.48
sa,Alex Garcia, SG,2,0,6.5,1.5,0.0,0.0,0.0,0.0,1.00,0.00,0.5,0.0,0.0,-4.8,0.5,3.5,.143,0.0,0.0,.000,0.5,1.0,0.50,0.5,3.5,.143,.429,0.14
sa,Ron Mercer, SG,39,0,13.2,5.0,0.3,1.0,1.3,0.6,0.36,0.13,0.7,0.9,0.8,9.3,2.3,5.4,.427,0.1,0.2,.286,0.3,0.4,0.76,2.2,5.2,.431,.924,0.43
sa,Matt Carroll, SG†,3,0,7.3,2.0,0.3,0.7,1.0,0.3,0.33,0.00,1.3,1.7,0.3,3.8,0.7,1.7,.400,0.0,0.0,.000,0.7,1.3,0.50,0.7,1.7,.400,1.200,0.40
sa,Robert Horry, PF,81,1,15.9,4.8,1.3,2.0,3.4,1.2,0.59,0.60,0.7,2.0,1.8,14.6,1.7,4.3,.405,0.5,1.3,.380,0.9,1.3,0.64,1.2,3.0,.417,1.126,0.46
sa,Manu Ginobili, SG,77,38,29.4,12.8,1.1,3.4,4.5,3.8,1.77,0.21,2.1,2.4,1.8,18.5,4.3,10.2,.418,1.1,3.2,.359,3.1,3.9,0.80,3.2,7.0,.445,1.251,0.47
