TEAM,PLAYER,POS,GP,GS,MIN,PPG,OFFR,DEFR,RPG,APG,SPG,BPG,TPG,FPG,A/TO,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,2PM,2PA,2P%,PPS,AFG%
cle,Steve Colter, G,57,7,13.2,3.4,0.2,0.8,1.0,1.8,0.53,0.11,0.6,0.9,2.8,1.2,3.0,.396,0.1,0.6,.229,0.9,1.2,0.76,1.1,2.4,.440,1.160,0.42
cle,Tyrone Hill, PF,70,67,34.2,13.8,3.8,7.1,10.9,0.8,0.79,0.59,2.2,3.5,0.4,5.0,9.9,.504,0.0,0.0,.000,3.8,5.7,0.66,5.0,9.9,.505,1.388,0.50
cle,Mark Price, G,48,34,28.6,15.8,0.5,1.8,2.3,7.0,0.73,0.08,3.0,1.0,2.4,5.3,12.8,.413,2.1,5.3,.407,3.1,3.4,0.91,3.2,7.5,.418,1.237,0.50
cle,Bobby Phills, F,80,79,31.3,11.0,1.1,2.2,3.3,2.3,1.44,0.31,1.4,2.6,1.6,4.2,10.2,.414,0.2,0.7,.345,2.3,2.9,0.78,4.0,9.5,.419,1.076,0.43
cle,Gerald Madkins, G,7,0,4.0,1.1,0.0,0.0,0.0,0.1,0.29,0.00,0.4,0.3,0.3,0.3,0.9,.333,0.1,0.3,.500,0.4,0.6,0.75,0.2,0.6,.250,1.333,0.42
det,Mark Macon, G,55,6,13.1,5.0,0.5,0.9,1.4,1.1,1.22,0.02,0.7,1.8,1.5,1.8,4.8,.381,0.4,1.1,.323,1.0,1.2,0.79,1.4,3.7,.399,1.042,0.42
det,Lindsey Hunter, SG,42,26,22.5,7.5,0.6,1.2,1.8,3.8,1.21,0.17,1.9,2.2,2.0,2.8,7.6,.374,0.9,2.6,.333,1.0,1.3,0.73,1.9,5.0,.395,.987,0.43
det,Oliver Miller, C,64,22,24.3,8.5,2.5,4.9,7.4,1.5,0.94,1.81,1.8,3.4,0.8,3.6,6.5,.555,0.0,0.2,.231,1.2,1.9,0.63,3.6,6.3,.565,1.304,0.56
det,Ivano Newbill, C,34,0,9.7,1.2,1.2,1.2,2.4,0.5,0.35,0.32,0.4,1.8,1.4,0.5,1.3,.356,0.0,0.0,.000,0.2,0.6,0.36,0.5,1.3,.356,.889,0.36
det,Eric Leckner, C,57,11,10.9,3.9,0.8,2.2,3.1,0.2,0.26,0.26,0.7,2.1,0.4,1.5,2.9,.527,0.0,0.0,.000,0.9,1.3,0.71,1.5,2.9,.534,1.364,0.53
det,Mark West, C,67,58,23.0,7.5,2.4,3.7,6.1,0.3,0.40,1.52,1.3,3.7,0.2,3.2,5.8,.556,0.0,0.0,.000,1.0,2.1,0.48,3.2,5.8,.556,1.282,0.56
det,Mike Peplowski, C,6,0,3.5,1.8,0.2,0.3,0.5,0.2,0.17,0.00,0.3,1.7,0.5,0.8,0.8,1.000,0.0,0.0,.000,0.2,0.3,0.50,0.8,0.8,1.000,2.200,1.00
det,Bill Curley, F,53,1,11.2,2.7,1.0,1.3,2.3,0.5,0.40,0.40,0.5,2.4,1.0,1.1,2.5,.433,0.0,0.0,.000,0.5,0.7,0.75,1.1,2.5,.433,1.067,0.43
det,Rafael Addison, F,79,16,22.5,8.3,0.8,2.2,3.1,1.4,0.67,0.32,1.0,3.0,1.4,3.5,7.4,.476,0.3,1.1,.289,0.9,1.3,0.75,3.2,6.3,.507,1.119,0.50
det,Johnny Dawkins, G,50,9,23.4,6.5,0.6,1.7,2.3,4.1,1.04,0.02,1.7,1.5,2.4,2.5,5.4,.463,0.5,1.5,.342,1.0,1.1,0.91,2.0,3.9,.508,1.204,0.51
det,Joe Dumars, G,67,67,38.0,18.1,0.7,1.7,2.4,5.5,1.07,0.10,3.3,2.3,1.7,6.2,14.5,.430,1.5,5.0,.305,4.1,5.1,0.81,4.7,9.5,.497,1.252,0.48
det,Walter Bond, G†,5,0,10.2,2.0,0.2,0.8,1.0,1.4,0.20,0.00,0.6,2.0,2.3,0.6,2.4,.250,0.2,0.8,.250,0.6,0.8,0.75,0.4,1.6,.250,.833,0.29
det,Negele Knight, G†,44,17,15.1,4.1,0.5,0.9,1.3,2.6,0.45,0.11,1.0,1.5,2.6,1.8,4.5,.392,0.3,0.6,.393,0.3,0.5,0.67,1.5,3.9,.392,.910,0.42
det,Allan Houston, SG,76,39,26.3,14.5,0.4,1.8,2.2,2.2,0.80,0.18,1.5,2.4,1.5,5.2,11.3,.463,2.1,4.9,.424,1.9,2.3,0.86,3.1,6.4,.494,1.282,0.56
det,Terry Mills, F,72,69,34.9,15.5,1.7,6.0,7.8,2.2,0.94,0.46,2.0,3.5,1.1,5.8,13.0,.447,1.5,4.0,.382,2.4,3.0,0.80,4.3,9.0,.475,1.198,0.51
det,Grant Hill, SF,70,69,38.3,19.9,1.8,4.6,6.4,5.0,1.77,0.89,2.9,2.9,1.7,7.3,15.2,.477,0.1,0.4,.148,5.3,7.3,0.73,7.2,14.8,.486,1.310,0.48
ind,Haywoode Workman, G,69,14,14.9,4.2,0.3,1.3,1.6,2.8,0.86,0.07,1.1,1.7,2.7,1.5,3.9,.375,0.5,1.4,.357,0.8,1.1,0.74,1.0,2.5,.386,1.086,0.44
ind,Sam Mitchell, F,81,12,17.0,6.5,1.2,1.8,3.0,0.8,0.53,0.25,0.7,2.5,1.1,2.5,5.1,.487,0.0,0.1,.100,1.6,2.1,0.72,2.5,5.0,.496,1.281,0.49
ind,Byron Scott, G,80,1,19.1,10.0,0.2,1.7,1.9,1.4,0.76,0.16,1.5,1.5,0.9,3.3,7.3,.455,1.0,2.5,.389,2.4,2.8,0.85,2.3,4.8,.489,1.376,0.52
ind,Antonio Davis, PF,44,1,23.4,7.6,2.4,4.0,6.4,0.6,0.43,0.66,1.5,3.0,0.4,2.5,5.6,.445,0.0,0.0,.000,2.7,4.0,0.67,2.5,5.6,.445,1.367,0.44
ind,Reggie Miller, SG,81,81,32.9,19.6,0.4,2.2,2.6,3.0,1.21,0.20,1.9,1.9,1.6,6.2,13.5,.462,2.4,5.8,.415,4.7,5.3,0.90,3.8,7.7,.498,1.454,0.55
ind,John S. Williams, F,34,0,11.8,2.9,0.7,1.1,1.8,0.8,0.29,0.06,1.0,1.4,0.8,1.2,3.4,.357,0.1,0.4,.333,0.4,0.7,0.56,1.1,3.0,.359,.870,0.37
ind,Vern Fleming, G,55,1,12.5,4.6,0.4,1.2,1.6,2.0,0.49,0.02,0.8,1.5,2.5,1.7,3.4,.495,0.0,0.1,.000,1.2,1.6,0.72,1.7,3.3,.514,1.335,0.49
ind,Mark Jackson, PG,82,67,29.3,7.6,0.9,2.8,3.7,7.5,1.28,0.20,2.6,1.8,2.9,2.9,6.9,.422,0.3,1.1,.310,1.5,1.9,0.78,2.6,5.8,.443,1.102,0.45
