,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
"Damien Wilkins,SG",,,,,,,2500000,2700000,2900000,3100000,3630000,482478,,,,
"Damion James,SF",,,,,,,,,,,,1156320,1243080,68902,68902,
"Damjan Rudez,SF",,,,,,,,,,,,,,,,1100000
"Damon Jones,PG",,714000,566000,,,,3596924,3884678,4172432,4460186,,,,,,
"Damon Stoudamire,PG",10125000,11250000,12375000,13500000,14625000,15750000,4250000,4050000,335442,,,,,,,
"Damone Brown,PF",,,332000,512000,,,,,,,,,,,,
"Dan Dickau,PG",,,,,,,2255350,2753218,,,,,,,,
"Dan Gadzuric,C",,,,,,,4750000,5252065,5751130,6250195,6749260,7248325,69393,,,
"Dan Langhi,PF",,316000,465000,,,,,,,,,,,,,
"Dan Majerle,G",,4000000,590000,,,,,,,,,,,,,
"Dan McClintock,C",,26000,,,,,,,,,,,,,,
"Dana Barros,PG",,3700000,1500000,,,,,,,,,,,,,
"Daniel Ewing,PG",,,,,,,450000,,,,,,,,,
"Daniel Gibson,SG",,,,,,,,,,3700000,4088500,4015334,4403834,4792332,,
"Daniel Orton,C",,,,,,,,,,,,1028400,1105560,916099,,
"Daniel Santiago,C",,316000,,,,,,,,,,,,,,
"Danilo Gallinari,SF",,,,,,,,,,2873520,3089040,3304560,4190182,9439000,10146925,10854850
"Danny Ferry,F",,1200000,1000000,1100000,,,,,,,,,,,,
"Danny Fortson,C",,,4441000,4935000,5428000,5922000,6207670,6596990,,,,,,,,
"Danny Granger,SF",,,,,,,1318920,1417800,1516800,2329805,10130500,10973202,12015904,13058606,249683,2077000
"Danny Green,SG",,,,,,,,,,,457588,130022,,3500000,3762500,4025000
"Danny Manning,F",,1200000,1500000,1650000,,,,,,,,,,,,
"Dante Cunningham,PF",,,,,,,,,,,,,2000000,2090000,2180000,
"Dante Exum,SG",,,,,,,,,,,,,,,,3615000
"Darington Hobson,SG",,,,,,,,,,,,473604,,,,
"Darius Miles,SF",,2841000,3054000,3267000,4130000,5419000,7250000,7750000,8250000,450399,,854389,854389,854389,,
"Darius Miller,SF",,,,,,,,,,,,,,,,915243
"Darius Morris,PG",,,,,,,,,,,,,473604,,,
"Darius Songaila,PF",,,,,,,2200000,3650000,3942000,4235000,4526000,4818000,4818000,4818000,,
"Darko Milicic,C",,,,,,,4135200,5218622,,7020000,7540000,4325000,4776500,854389,,
"Darnell Jackson,PF",,,,,,,,,,450000,,,,,,
"Darrell Armstrong,PG",4125000,3100000,4130000,4506000,,,719373,1178348,,,,,,,,
"Darrell Arthur,PF",,,,,,,,,,977160,1050480,1123680,2027119,3006217,3231683,3457149
"Darren Collison,PG",,,,,,,,,,,1266120,1361040,1455960,1900000,1900000,4797664
"Darrick Martin,PG",,673000,590000,,,,1081575,744551,,,,,,,,
"Darryl Watkins,C",,,,,,,,,427163,,,,55321,,,
"Darvin Ham,SF",,1700000,1760000,,,,,,,,,,,,,
"David Andersen,C",,,,,,,,,,,2314815,2500000,2685185,2685185,,
"David Harrison,C",,,,,,,898200,960840,1734316,,,,,,,
"David Lee,PF",,,,,,,861360,926040,990600,1788033,7000000,10800000,11610000,12744000,13878000,15012000
"David Noel,SF",,,,,,,,412718,,,,,,,,
"David Robinson,C",,13196000,9500000,10500000,,,,,,,,,,,,
"David Vanterpool,G",,80000,,,,,,,,,,,,,,
"David Wesley,SG",2520000,2880000,3240000,3600000,3960000,,5075000,1750000,1750000,,,,,,,
"David West,PF",,,,,,,1334160,2051938,10650000,9862500,9075000,8287500,10000000,10000000,12000000,12000000
"David Wingate,G",,548000,,,,,,,,,,,,,,
"DeAndre Jordan,C",,,,,,,,,,550000,,,10079404,10986550,10986550,11440123
"DeAndre Liggins,SG",,,,,,,,,,,,,473604,884293,,
"DeJuan Blair,C",,,,,,,,,,,850000,918000,1054000,1054000,884293,2000000
"DeMar DeRozan,SG",,,,,,,,,,,2282640,2453880,3344250,3344250,9500000,10100000
"DeMarcus Cousins,C",,,,,,,,,,,,3374640,3880800,3880800,4916974,14746000
"DeMarcus Nelson,SG",,,,,,,,,,,736420,736420,736420,736420,,
"DeMarre Carroll,SF",,,,,,,,,,,1009680,1085400,885120,885120,2557545,2442455
"DeQuan Jones,SF",,,,,,,,,,,,,,473604,,
"DeSagana Diop,C",,,1842000,1980000,2118000,2695000,2000000,1998000,2146000,5585000,6031800,6478600,6925400,,,
"DeShawn Stevenson,SG",,828000,890000,956000,1624000,2362000,2750000,932015,3348215,3616072,3883929,4151786,2500000,2240450,,
"Dean Garrett,C",2520000,2880000,3240000,,,,,,,,,,,,,
"Dee Brown,G",,548000,,,,,,,,,,,,,,
"Dell Curry,G",2100000,2000000,2100000,,,,,,,,,,,,,
"Delonte West,SG",,,,,,,1010040,1080480,1889760,3850000,4254250,,,,,
"Demetris Nichols,SF",,,,,,,,,,711517,,,,,,
"Dennis Horner,PF",,,,,,,,,,,,,473604,,,
"Dennis Schroder,PG",,,,,,,,,,,,,,,1348200,1690680
"DerMarr Johnson,SF",,2107000,2265000,,3087000,4119000,719373,,27198,,,,,,,
"Derek Anderson,SG",,2250000,6495000,7145000,7794000,8444000,1670000,617539,770610,,,,,,,
"Derek Fisher,PG",3000000,3000000,3000000,3000000,3000000,3000000,5393300,5883600,4352000,4700000,5048000,3700000,2329545,261343,,
"Derek Strong,F",3159000,3510000,,,,,,,,,,,,,,
"Deron Washington,NA",,,,,,,,,,,457588,457588,457588,457588,,
"Deron Williams,PG",,,,,,,3487440,3749040,4010640,5069449,13520500,14940153,16359805,17177795,18466130,19754465
"Derrick Brown,SF",,,,,,,,,,,457588,762195,,,,
"Derrick Byars,SF",,,,,,,,,,,457588,457588,854389,,,
"Derrick Coleman,PF",7370000,8040000,8710000,9830000,,,,,,,,,,,,
"Derrick Dial,SG",,,541000,,,,,,,,,,,,,
"Derrick Favors,PF",,,,,,,,,,,,4133280,4753320,4753320,6008196,12950000
"Derrick McKey,F",4800000,5400000,6000000,,,,,,,,,,,,,
"Derrick Rose,PG",,,,,,,,,,4822800,5184480,5546160,6993708,17632688,17632688,18862876
"Derrick Williams,PF",,,,,,,,,,,,,4602720,4809840,5016960,6331404
"Desmon Farmer,SG",,,,,,,,,,797581,,,,,,
"Desmond Mason,SF",,1074000,1155000,1235000,1898000,2680000,7233333,8037036,5000000,5300000,825497,,825497,825497,,
"Devean George,SF",790000,849000,834000,1542000,2244000,,5000600,1974259,2369111,1600000,1600000,,,,,
"Devin Brown,SG",,,,,,,1592400,516806,1200000,998398,1107572,,,,,
"Devin Green,SG",,,,,,,,,687456,797581,,,,,,
"Devin Harris,PG",,,,,,,2947440,3153120,3995003,7800000,8400000,8981000,9319000,8500000,,3878896
"Devyn Marble,SG",,,,,,,,,,,,,,,,884879
"Dewayne Dedmon,C",,,,,,,,,,,,,,,300000,
"Dexter Pittman,C",,,,,,,,,,,,,762195,,,
"Diamon Simpson,SF",,,,,,,,,,,,,57291,,,
"Diante Garrett,PG",,,,,,,,,,,,,,473604,719266,
